ID;extracted_text
8915;"Scientists Meet Analytical Challenge of an Ephemeral Element

FOR 23 years scientists have known of a bizarre, man-made element that can be created only one atom at a time, each surviving for only a few seconds. Chemical analysis of this new element, recently named seaborgium, seemed out of the question."
628;"ABROAD AT HOME; LACKING THE EVIDENCE

Prime Minister Begin explained the attack on Iraq's nuclear reactor at a press conference June 9, two days after the raid. Israel had to act, he said, because Saddam Hussein, the Iraqi President, ''wanted to destroy our existence, in fact our people and our country.''"
1279;"As It Returns to Negotiations, North Korea Lashes Out at Japan

North Korea called Japanese officials ''political imbeciles'' on Saturday for saying they would not accept the North as a nuclear power, less than a week after it agreed to return to international arms talks on its atomic program. In typically harsh words, North Korea also condemned the United States as ''fanatic warmongers who destroy peace and security on the Korean Peninsula.''"
5129;"Iraq Balks at Naming Its Nuclear Suppliers

Iraq is still refusing to name the suppliers of materials and equipment used in the country's clandestine nuclear weapons program despite pledges to do so, the International Atomic Energy Agency said on Friday. As a result, there is no guarantee that all the nuclear supplies have been declared to inspectors or that Iraq will not try to buy from the same suppliers again, said Dimitri Perricos, who this month headed the agency's 12th inspection trip to Iraq. ""There is a political decision not to divulge information of this nature,"" Hans Blix, the agency's director general, said at a news conference."
8568;"SCIENCE WATCH; Evidence for Neutrino Mass? Since May, physicists have been astir over a hypothesis that neutrinos, thought to be the most prevalent sub-atomic particles in the universe, have mass. Numerous experiments have been designed to affirm or deny that assertion, made by Dr. Frederick Reines of the University of California at Irvine and others."
1742;"Bhutto Says She Favors Pact With India to Bar Atom Arms

Prime Minister Benazir Bhutto of Pakistan today denied that her country was building a nuclear bomb and said she would like to work for nuclear nonproliferation with India. Interviewed on British television, Ms. Bhutto said, ''We would like to make our region free from the threat of nuclear proliferation and that is why we would like to work with India as our neighbor to prevent any pressures in the future.'' She added, ''Pakistan has not, nor do we have any intention of putting together or making, a bomb, or taking it to the point where you can put it together.''"
9121;"South Africa Signs a Treaty Allowing Nuclear Inspection

South Africa signed the Nuclear Non-Proliferation Treaty today, permitting inspection of all its atomic installations. Foreign Minister Roelof F. Botha signed his country's accession to the treaty at a ceremony here attended by the visiting British Foreign Secretary, Douglas Hurd."
9080;"Slowdown in Program to Clean Up Nuclear Waste in Washington State Is Drawing Criticism

The Energy Department is drawing increasing criticism for its plan to slow down its cleanup of radioactive waste in tanks at the Hanford nuclear reservation in Washington State. The energy secretary, Samuel W. Bodman, told the Senate Energy Committee on Thursday that there are issues ''where we do have differences of opinion'' on how thoroughly the underground tanks should be emptied."
6902;"North Balks, Threatening Korean Pact

The Clinton Administration's agreement to have North Korea freeze its nuclear program could fall apart over the North's continued refusal to let South Korea supply it with two new light-water reactors, American officials said today. The officials said they were disappointed that North Korean officials, in talks held last week in Berlin, had continued to insist that another country provide the light-water reactors that the agreement promises to the North in exchange for freezing its weapons-oriented nuclear program. Under an agreement signed in October, the two countries said they would try to work out details about the light-water reactor project by April 21."
7840;"Political Tensions Rise in Iran as Hard-Liners Chafe at Deal

Tensions between the Iranian president, Hassan Rouhani, and more conservative authorities over the country's nuclear agreement and its future are turning increasingly bitter, punctuated by public exchanges and growing signs of an anti-American backlash, including arrests. Mr. Rouhani is insisting that the nuclear deal signed in July not only will create the basis for an end to Iran's prolonged economic isolation, but could be the start of new relations with the United States under certain conditions. Yet even his cautious statement of optimism has provoked a stormy reaction."
9464;"THE NATION; ADVISE YIELDS TO CONSENT IN NUCLEAR FUEL VOTE

It was a squeaky victory, and therefore especially gratifying to senior Carter Administration officials who had lobbied the Senate mercilessly for days. By a margin of two votes, the Senate approved last week the sale of 38 tons of enriched uranium to India, shipments authorized by President Carter last June."
8778;"STATE PANEL'S STUDY OF SHOREHAM ATOM PLANT ENDS IN WIDE DISAGREEMENT

Exerpts from report, page B8. Members of Governor Cuomo's commission on the Shoreham nuclear power plant agree that it was a mistake to build the reactor, but after six months of hearings and deliberations, there appears to be agreement on very little else. The commission's 13 members now disagree even on what their chairman, Dr. John H. Marburger 3d, says they agreed to when they drafted their report to Mr. Cuomo - such things as whether the Long Island Lighting Company, the owner of the reactor, is prepared to run it and whether it would pay to open the plant."
11142;"U.S. Seeking to Strengthen Nuclear Agency

After the Persian Gulf war, when international inspectors got a better opportunity to look around a defeated Iraq, they discovered that President Saddam Hussein had secretly been developing nuclear weapons. To deter such an ominous possibility from threatening the world again, Washington wants to strengthen the powers of the International Atomic Energy Agency, which is responsible for guarding against the diversion of nuclear material to bomb-making. But the effort has run into determined resistance, not from rogue states bent on acquiring nuclear arsenals, but from two allies -- Germany and Japan -- that fear a new burden on their flourishing nuclear power industries. While expressing commitment to nonproliferation, diplomats from each country, in separate interviews today, said the expanded powers that Washington is seeking for the atomic energy agency would place unfair economic and financial burdens on the owners of nuclear power plants. Next week, the atomic energy agency's 35-member board of governors will meet in Vienna, where a majority of the nations will seek to persuade the Germans and Japanese to change their positions. The board operates by consensus, and the determined opposition of any member could scuttle the changes."
7352;Why does Mr. Safire find it so hard to believe that chemicals that kill insects and weeds, kill the birds that eat them, kill the fish that swim in them, will ultimately kill us either directly or by destruction of the food chain? Instead he focuses on the conservative Chicken Little lament that the Communists are coming, only now it is the terrorists, i.e., the nuclear holocaust is coming unless we spend more money on bombs. As I recall, the United States is the only nation actually to use an atomic weapon. Few nations even test them anymore.
5404;"Japan’s Plan for Fukushima Wastewater Meets a Wall of Mistrust in Asia

The government in Tokyo says criticism of its intention to release treated water into the ocean is unscientific. South Korea has called the proposal “utterly intolerable.”
TOKYO — In late 2019, the Japanese government convened diplomats from 22 countries for a briefing on its handling of more than a million tons of wastewater from Fukushima’s crippled nuclear reactors. Storage space was rapidly running out, the authorities explained, and they were considering several solutions."
5004;"Iran: Talks End on Encouraging Note

VIENNA -- The second round of talks between Iran and six world powers over Iran's nuclear program ended Wednesday with all parties expressing satisfaction with the discussions, which were the most detailed so far on each of the main issues dividing them. Both Catherine Ashton, the European Union's foreign affairs chief and the chief negotiator for the six powers, and Mohammad Javad Zarif, the Iranian foreign minister, described the talks as ''useful and substantive.''"
10803;"U.S. AGAIN SAYS IT WON'T JOIN SOVIET MORATORIUM

The Reagan Administration, responding to a speech by Mikhail S. Gorbachev, today repeated assertions that it would not join a Soviet moratorium on underground nuclear tests. Mr. Gorbachev said in his speech that the Soviet Union was extending its moratorium on such tests until Jan. 1."
1859;"Brazil Comes Clean About Its Bomb

Brazil's new civilian President, Fernando Collor, has moved courageously in recent weeks toward a noble goal: keeping Latin America free of nuclear weapons. He has publicly confirmed what many long suspected - that his country's military has been working secretly for 15 years to build an atomic bomb. He's prepared to ban exports of nuclear and missile technology. And he's called for a ban on nuclear tests, even for peaceful purposes, across Latin America. These are helpful steps but he can do more by denying funds for the military's nuclear programs and by allowing international inspection of Brazil's reactors. The U.S. can help Mr. Collor nudge his fractious military along by suspending sales of supercomputers the military badly wants."
7685;"Pakistani Scientist Is Focus Of Atomic Sale Investigation

Pakistani officials said Wednesday that their investigation into the sale of the nation's nuclear technology to Iran had now focused on Abdul Qadeer Khan, the father of Pakistan's atomic bomb, and that a ""security ring"" had been set up around his house five days ago to keep him from leaving the country. But it was unclear whether the government had the political will, to bring charges against the widely revered scientist."
6429;"NORTH KOREA SITE AN A-BOMB PLANT, U.S. AGENCIES SAY

United States intelligence agencies have detected a huge secret underground complex in North Korea that they believe is the centerpiece of an effort to revive the country's frozen nuclear weapons program, according to officials who have been briefed on the intelligence information. The finding has alarmed officials at the White House and the Pentagon, who fear that it may be an effort to break out of a four-year-old agreement in which North Korea pledged to give up its nuclear weapons program in exchange for billions of dollars in Western aid. The finding also follows a string of provocations by the North, including missile sales to Pakistan and the incursion of a small North Korean submarine carrying nine commandos off the South Korean coast this year."
585;"A Widening Nuclear Divide

MADBAN, India -- When a farmer named Praveen Gawankar and two neighbors began a protest four years ago against a proposed nuclear power plant here in this coastal town, they were against it mainly for not-in-my-backyard reasons. They stood to lose mango orchards, cashew trees and rice fields, as the government forcibly acquired 2,300 acres to build six nuclear reactors -- the biggest nuclear power plant ever proposed anywhere. But now, as a nuclear disaster unfolds in distant Japan, the lonely group of farmers has seen support for their protest swell to include a growing number of Indian scientists, academics and former government officials. ''We are getting ready for bigger protests,'' Mr. Gawanker said."
